ts_local,ts_server,slug,condition_id,inventory_yes,inventory_no,net_inventory,gross_inventory,cash,inventory_value,mark_to_market_pnl,yes_mid,no_mid,yes_fair_value,no_fair_value,yes_bid_quote,yes_ask_quote,no_bid_quote,no_ask_quote,fill_count_yes_buy,fill_count_yes_sell,fill_count_no_buy,fill_count_no_sell,total_fills,seconds_to_window_end,position_bias,crowd_activity,crowd_signal,realized_on_roll,action_name,policy_name,epsilon,state_slug,state_condition_id,state_yes_mid,state_no_mid,state_yes_spread,state_no_spread,state_yes_imbalance,state_no_imbalance,state_yes_mid_return_1s,state_no_mid_return_1s,state_seconds_to_window_end,state_net_inventory,state_gross_inventory,state_position_bias,state_crowd_signal,state_crowd_activity,state_mark_to_market_pnl,state_fill_count,state_key,action_index
2026-04-20T18:44:31.784921+00:00,2026-04-20T18:44:31.344758+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.98,0.02,0.98,0.99,0.01,0.02,0,0,0,0,0,28.65524196624756,0.0,23779.06,0.0,0.0,lean_no,q_learning,0.2,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.995,0.005,0.01,0.01,,,,,28.65524196624756,0.0,0.0,0.0,0.0,23779.06,0.0,0,19|0|0|0|2|0|2,0
2026-04-20T18:44:41.186226+00:00,2026-04-20T18:44:40.451437+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995,0.005,0.983843,0.016157,0.98,0.99,0.01,0.02,0,0,0,0,0,19.54856300354004,0.0,4686.32,0.23289916181566775,0.0,lean_no,q_learning,0.2,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.995,0.005,0.008,0.008,0.23289916181566775,-0.23289916181566775,,,19.54856300354004,0.0,0.0,0.0,0.23289916181566775,4686.32,0.0,0,19|0|0|0|2|0|2,0
2026-04-20T18:44:41.852905+00:00,2026-04-20T18:44:41.043353+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-5.0,5.0,-10.0,10.0,4.9,-4.949999999999999,-0.049999999999998934,0.995,0.005,1.01994,-0.01994,0.98,0.99,0.01,0.02,0,1,1,0,2,18.95664691925049,-0.4,4666.3,0.2381887148275936,0.0,lean_no,q_learning,0.199,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.995,0.005,0.008,0.008,0.2381887148275936,-0.2381887148275936,,,18.95664691925049,-10.0,10.0,-0.4,0.2381887148275936,4666.3,-0.049999999999998934,2,19|0|0|-2|2|0|2,0
2026-04-20T18:44:42.551209+00:00,2026-04-20T18:44:42.040506+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-10.0,10.0,-20.0,20.0,9.8,-9.899999999999999,-0.09999999999999787,0.995,0.005,1.09564,-0.09564,0.98,0.99,0.01,0.02,0,2,2,0,4,17.95949411392212,-0.8,4666.3,0.2381887148275936,0.0,defensive,q_learning,0.19800500000000001,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.995,0.005,0.008,0.008,0.2381887148275936,-0.2381887148275936,0.0,0.0,17.95949411392212,-20.0,20.0,-0.8,0.2381887148275936,4666.3,-0.09999999999999787,4,19|0|0|-3|2|0|2,4
2026-04-20T18:44:55.623503+00:00,2026-04-20T18:44:55.443573+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995,0.0005,0.984495,0.015505,0.98,0.99,0.01,0.02,0,0,0,0,0,4.556427001953125,0.0,11490.92,-0.0003045883184288116,0.0,lean_no,q_learning,0.2,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.9995,0.0005,0.001,0.001,,,,,4.556427001953125,0.0,0.0,0.0,-0.0003045883184288116,11490.92,0.0,0,19|0|0|0|2|0|2,0
2026-04-20T18:44:56.346322+00:00,2026-04-20T18:44:56.044324+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-5.0,5.0,-10.0,10.0,4.9,-4.995,-0.09499999999999975,0.9995,0.0005,1.02161,-0.02161,0.98,0.99,0.01,0.02,0,1,1,0,2,3.9556760787963867,-0.4,31331.46,0.0,0.0,lean_no,q_learning,0.199,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.9995,0.0005,0.001,0.001,,,,,3.9556760787963867,-10.0,10.0,-0.4,0.0,31331.46,-0.09499999999999975,2,19|0|0|-2|2|0|2,0
2026-04-20T18:44:56.985688+00:00,2026-04-20T18:44:56.058815+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-10.0,10.0,-20.0,20.0,9.8,-9.99,-0.1899999999999995,0.9995,0.0005,1.0997,-0.0997,0.98,0.99,0.01,0.02,0,2,2,0,4,3.9411849975585938,-0.8,31338.46,0.0,0.0,defensive,q_learning,0.19800500000000001,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.9995,0.0005,0.001,0.001,,,,,3.9411849975585938,-20.0,20.0,-0.8,0.0,31338.46,-0.1899999999999995,4,19|0|0|-3|2|0|2,4
2026-04-20T18:44:57.616843+00:00,2026-04-20T18:44:57.042238+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-15.0,15.0,-30.0,30.0,14.7,-14.985000000000001,-0.2850000000000019,0.9995,0.0005,1.124993,-0.124993,0.98,,,0.02,0,3,3,0,6,2.9577620029449463,-1.0,31452.46,0.0,0.0,defensive,q_learning,0.197014975,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.9995,0.0005,0.001,0.001,,,0.0,0.0,2.9577620029449463,-30.0,30.0,-1.0,0.0,31452.46,-0.2850000000000019,6,19|0|0|-4|2|0|2,4
2026-04-20T18:44:58.297206+00:00,2026-04-20T18:44:58.038053+00:00,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,-15.0,15.0,-30.0,30.0,14.7,-14.985000000000001,-0.2850000000000019,0.9995,0.0005,1.125239,-0.125239,0.98,,,0.02,0,3,3,0,6,1.961946964263916,-1.0,32088.07,0.0,0.0,defensive,q_learning,0.19602990012500002,btc-updown-5m-1776710400,0x51fe67fee386c4788c9f40975fd87ea782b9a24ffa51a2c860b5afcab95c3316,0.9995,0.0005,0.001,0.001,,,0.0,0.0,1.961946964263916,-30.0,30.0,-1.0,0.0,32088.07,-0.2850000000000019,6,19|0|0|-4|2|0|2,4
2026-04-20T18:45:44.046434+00:00,2026-04-20T18:45:43.215568+00:00,btc-updown-5m-1776710700,0x04a0cf62bb8f2f61e2d01aaa7c6ea141f3ef0a5e28e8e69340b890fff5abcdbf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.505,0.495,0.482184,0.517816,0.495,0.515,0.485,0.518936,0,0,0,0,0,256.7844319343567,0.0,1268.21,-0.4736924311299002,0.0,lean_no,q_learning,0.2,btc-updown-5m-1776710700,0x04a0cf62bb8f2f61e2d01aaa7c6ea141f3ef0a5e28e8e69340b890fff5abcdbf,0.505,0.495,0.01,0.01,-0.5354101522019266,0.16201610698740457,,,256.7844319343567,0.0,0.0,0.0,-0.4736924311299002,1268.21,0.0,0,10|0|-1|0|0|0|2,0
